tmax_lapse,tmin_lapse,adjmix_rain,tmax_allrain,dday_intcp,dday_slope,ppt_rad_adj,tmax_index,jh_coef,epan_coef,tstorm_mo,cecn_coef
3.200000048,10,0.1,32,-36,0.200000006,0.02,-12,0.005,3,0,0
4.199999809,10,0.1,32,-36,0.200000006,0.02,190,0.005,3,0,0
4.900000095,10,0.1,32,-36,0.200000006,0.02,491,0.005,3,0,0
5.300000191,10,1,32,-26,0.200000006,0.02,555,0.005,3,0,0
5.699999809,10,1,32,-26,0.200000006,0.02,817,0.005,3,1,0
5.800000191,10,1,32,-10,0.200000006,0.02,831,0.005,3,1,0
6.300000191,10,1,32,-10,0.200000006,0.02,906,0.005,3,1,0
4,10,1,32,-10,0.300000006,0.02,824,0.005,3,1,0
4.900000095,10,1,32,-16,0.200000006,0.02,892,0.005,3,1,0
4.199999809,10,1,32,-26,0.200000006,0.02,564,0.005,3,1,0
3.299999952,10,1,32,-36,0.200000006,0.02,324,0.005,3,0,0
3,10,0.1,32,-36,0.200000006,0.02,21,0.005,3,0,0
