year,month,day,time,min,sec,runoff[0],precip[0],precip[1],precip[2],precip[3],precip[4],tmin[0],tmin[1],tmax[0],tmax[1]
1995,1,1,0,0,0,378.9263648,0.011811024,0,0.035433071,0.031496063,0.000393701,-2.74,-6.16,18.5,10.22
1995,1,2,0,0,0,378.9263648,0,0,0,0,0,-6.7,-19.12,20.3,8.06
1995,1,3,0,0,0,378.9263648,0,0,0,0,0,-11.56,-22.18,20.48,11.12
1995,1,4,0,0,0,378.9263648,0,0,0,0,0,-12.64,-23.26,22.1,11.66
1995,1,5,0,0,0,378.9263648,0,0,0,0,0,-12.28,-23.26,25.7,15.62
1995,1,6,0,0,0,378.9263648,0,0,0,0,0,-12.28,-22.54,26.78,15.62
1995,1,7,0,0,0,378.9263648,0,0,0,0,0,-9.94,-20.02,27.86,26.06
1995,1,8,0,0,0,378.9263648,0,0,0,0,0,-3.82,-13,28.22,31.82
1995,1,9,0,0,0,378.9263648,0,0,0,0,0,-2.2,-9.04,21.02,19.04
1995,1,10,0,0,0,378.9263648,0,0,0,0,0,-0.22,-11.56,26.78,22.1
1995,1,11,0,0,0,378.9263648,0,0,0,0,0,-7.6,-16.42,22.28,21.02
1995,1,12,0,0,0,378.9263648,0,0,0,0,0,-10.12,-18.04,24.8,22.46
1995,1,13,0,0,0,378.9263648,0,0,0,0,0,-8.14,-16.6,24.98,20.3
1995,1,14,0,0,0,378.9263648,0,0,0,0,0,-6.88,-15.16,27.86,24.26
1995,1,15,0,0,0,378.9263648,0,0,0,0,0,-5.26,-12.46,28.94,26.78
1995,1,16,0,0,0,378.9263648,0,0,0,0,0,-4.18,-13.18,25.52,20.84
1995,1,17,0,0,0,378.9263648,0,0,0,0,0,1.58,-6.7,31.28,31.82
1995,1,18,0,0,0,378.9263648,0.01968504,0.023622047,0.000393701,0.01968504,0.000393701,8.42,0.32,24.62,19.58
1995,1,19,0,0,0,378.9263648,0,0,0,0.000393701,0,-4.54,-11.02,22.82,23.18
1995,1,20,0,0,0,378.9263648,0.000393701,0.000393701,0,0,0,-4.18,-9.76,18.14,15.8
1995,1,21,0,0,0,378.9263648,0.051181103,0.000393701,0.000393701,0.07480315,0,0.5,-5.8,15.62,9.5
1995,1,22,0,0,0,378.9263648,0.000393701,0.000393701,0.000393701,0.003937008,0.003937008,-13.72,-21.28,10.4,4.64
1995,1,23,0,0,0,378.9263648,0,0.011811024,0.000393701,0,0.003937008,-19.66,-23.26,10.4,8.24
1995,1,24,0,0,0,378.9263648,0,0,0,0,0,-15.34,-26.32,20.3,15.44
1995,1,25,0,0,0,378.9263648,0,0,0,0,0,-16.6,-24.7,18.5,16.7
1995,1,26,0,0,0,378.9263648,0,0,0,0,0,-15.52,-23.44,22.64,21.92
1995,1,27,0,0,0,378.9263648,0,0,0,0,0,-5.98,-13.36,22.28,23.18
1995,1,28,0,0,0,378.9263648,0,0,0,0,0,-6.16,-13.36,25.52,25.16
1995,1,29,0,0,0,378.9263648,0,0,0,0,0,-9.22,-18.22,26.42,23
1995,1,30,0,0,0,378.9263648,0,0,0,0,0,-10.3,-17.32,24.62,24.44
1995,1,31,0,0,0,378.9263648,0.007874016,0,0.000393701,0.000393701,0.000393701,-2.74,-6.88,17.96,13.82
1995,2,1,0,0,0,559.3843074,0.003937008,0.000393701,0.000393701,0.007874016,0.000393701,-8.5,-17.86,20.84,13.64
1995,2,2,0,0,0,559.3843074,0.000393701,0,0.000393701,0,0.000393701,-13.72,-23.98,13.1,8.42
1995,2,3,0,0,0,559.3843074,0,0.011811024,0,0.000393701,0,-16.06,-25.96,19.22,15.62
1995,2,4,0,0,0,559.3843074,0,0,0,0,0,-15.52,-23.44,28.04,21.92
1995,2,5,0,0,0,559.3843074,0,0,0,0,0,-11.02,-19.66,33.44,26.24
