hru_percent_dprst ,hru_area,hru_type,dprst_pct_open,hru_ssres,hru_gwres,hru_elev,tmax_adj,tmin_adj,hru_psta,hru_radpl,hru_solsta,jh_coef_hru,transp_beg,transp_end,transp_tmax,pkwater_equiv,snow_intcp,srain_intcp,wrain_intcp,covden_sum,covden_win,snarea_thresh,groundmelt,imperv_stor_max,smidx_coef,smidx_exp,soil_moist_max,soil_moist_init,carea_max,snowinfil_max,cov_type,hru_deplcrv,hru_percent_imperv,hru_tsta,rad_trncf,soil2gw_max,soil_rechr_init,soil_rechr_max,soil_type,soil_moist_srunoff,frozen
0,89204.9,1,0,2,1,12070.2,10,1,5,7,0,7,1,12,300,0,5,0.050000001,0.050000001,0.679200001,0.571500001,200,0,0,1,0.8,10,0.5,0.100000003,20,1,1,0.1,2,0.769999981,0.005,1,2,1,0.1,32
0,311599.4,1,0,2,1,12605,10,0,5,2,0,7.800000191,3,10,300,0,5,0.050000001,0.050000001,0.591300003,0.485400003,200,0,0,1,0.8,10,0.5,0.100000003,20,1,1,0.1,2,0.589999974,0.005,1,2,1,0.1,32
0,38301.2,1,0,2,1,8218.5,10,0,5,2,0,7.199999809,3,10,300,0,5,0.050000001,0.050000001,0.419800003,0.300800003,200,0,0,1,0.8,10,0.5,0.100000003,20,1,1,0.1,2,0.589999974,0.005,1,2,1,0.1,32
0,45467.3,1,0,2,1,9468.5,10,0,5,3,0,7.5,1,12,300,0,5,0.050000001,0.050000001,0.7017,0.2665,200,0,0,1,0.8,10,0.5,0.100000003,20,1,1,0.1,2,0.50999999,0.005,1,2,1,0.1,32
0,16308.9,1,0,2,1,7355.6,10,-1,5,4,0,8.5,1,12,300,0,5,0.050000001,0.050000001,0.4335,0.2824,200,0,0,1,0.8,10,0.5,0.100000003,20,1,1,0.1,2,0.50999999,0.005,1,2,1,0.1,32
0,16061.8,1,0,2,1,9921.2,10,1,5,8,0,7.800000191,1,12,200,0,5,0.050000001,0.050000001,0,0,200,0,0,1,0.8,10,0.5,0.100000003,20,0,1,0.1,2,0.50999999,0.005,1,2,1,0.1,32
0,72895.9,1,0,1,1,7975.7,10,1,5,8,0,7.699999809,4,11,200,0,5,0.050000001,0.050000001,0.605399994,0.246799994,200,0,0,1,0.8,10,0.5,0.100000003,20,2,1,0.1,2,0.389999986,0.005,1,2,1,0.1,32
0,108973.3,1,0,1,1,10295.2,10,-1,5,4,0,7.699999809,4,11,300,0,5,0.050000001,0.050000001,0.582200006,0.255500006,200,0,0,1,0.8,10,0.5,0.100000003,20,1,1,0.1,2,0.340000004,0.005,1,2,1,0.1,32
0,178409.8,1,0,1,1,11643.7,10,1,5,8,0,7.100000381,4,10,100,0,5,0.01,0.01,0.6658,0.5958,200,0,0,1,0.8,10,0.5,0,20,1,1,0.1,2,1,0.005,1,2,1,0.1,32
0,200896.3,1,0,1,1,12247.3,10,-1,5,4,0,7.199999809,4,10,300,0,5,0.01,0.01,0.6625,0.4217,200,0,0,1,0.8,10,0.5,0,20,1,1,0.1,2,1,0.005,1,2,1,0.1,32
